aggregate_3d_label,z_start,z_end,volume_voxels,location,shape,solidity,intensity
1,0,4,347,nuclear,irregular,irregular,0.71
2,0,7,1027,nuclear,irregular,irregular,0.67
3,3,8,575,nuclear,irregular,irregular,0.7
4,4,7,78,nuclear,irregular,smooth,0.75
5,4,4,10,nuclear,irregular,irregular,0.59
6,4,6,52,nuclear,irregular,irregular,0.72
7,4,5,31,nuclear,irregular,irregular,0.68
8,4,7,73,nuclear,irregular,irregular,0.66
9,5,6,22,nuclear,irregular,smooth,0.72
10,5,8,100,nuclear,irregular,irregular,0.69
11,5,5,11,nuclear,irregular,irregular,0.63
12,5,6,31,nuclear,circular,irregular,0.63
13,5,7,286,nuclear,elongated,irregular,0.64
14,5,5,13,nuclear,irregular,irregular,0.65
15,5,6,45,nuclear,irregular,irregular,0.6
16,5,6,92,nuclear,irregular,irregular,0.63
17,6,6,10,nuclear,irregular,smooth,0.65
18,6,7,35,nuclear,circular,smooth,0.76
19,6,7,30,nuclear,irregular,irregular,0.66
20,6,6,13,nuclear,irregular,smooth,0.75
21,6,7,24,nuclear,irregular,smooth,0.73
22,6,6,11,nuclear,circular,irregular,0.64
23,6,9,166,nuclear,irregular,irregular,0.63
24,6,9,77,nuclear,irregular,smooth,0.65
25,6,8,39,nuclear,circular,smooth,0.71
26,6,6,12,nuclear,circular,smooth,0.63
27,6,6,10,nuclear,irregular,smooth,0.7
28,6,6,13,nuclear,irregular,irregular,0.61
29,6,6,10,nuclear,circular,smooth,0.6
30,6,7,27,nuclear,irregular,smooth,0.64
31,6,6,15,cytoplasmic,irregular,irregular,0.6
32,6,7,34,nuclear,circular,irregular,0.62
33,6,9,160,cytoplasmic,circular,irregular,0.68
34,6,7,31,nuclear,irregular,irregular,0.62
35,6,7,59,nuclear,irregular,irregular,0.65
36,6,6,15,nuclear,irregular,irregular,0.63
37,6,7,60,nuclear,irregular,irregular,0.62
38,6,7,38,nuclear,irregular,smooth,0.74
39,6,8,53,nuclear,irregular,smooth,0.72
40,6,8,67,nuclear,circular,smooth,0.72
41,6,8,55,nuclear,irregular,smooth,0.69
42,6,6,51,nuclear,irregular,irregular,0.6
43,6,6,20,nuclear,circular,irregular,0.6
44,6,6,10,nuclear,circular,irregular,0.62
45,6,6,31,nuclear,irregular,irregular,0.61
46,6,6,10,nuclear,circular,irregular,0.58
47,6,6,11,nuclear,circular,smooth,0.73
48,6,6,14,cytoplasmic,irregular,irregular,0.62
49,6,7,33,nuclear,irregular,irregular,0.74
50,6,8,103,nuclear,irregular,irregular,0.71
51,7,7,10,nuclear,irregular,irregular,0.61
52,7,7,17,nuclear,circular,irregular,0.62
53,7,7,11,nuclear,irregular,irregular,0.63
54,7,7,13,nuclear,circular,irregular,0.67
55,7,7,15,nuclear,irregular,irregular,0.64
56,7,8,28,nuclear,circular,irregular,0.67
57,7,8,26,nuclear,irregular,irregular,0.65
58,8,8,12,nuclear,circular,irregular,0.64
59,8,8,12,nuclear,irregular,smooth,0.65
60,8,8,12,nuclear,irregular,smooth,0.67
